frequency,V(onoise),V(r1)
1.000000000000000e-001,1.511681e-006,7.994574e-007
1.023292992280754e-001,1.500550e-006,7.994574e-007
1.047128548050900e-001,1.489593e-006,7.994574e-007
1.071519305237607e-001,1.478806e-006,7.994574e-007
1.096478196143185e-001,1.468188e-006,7.994574e-007
1.122018454301964e-001,1.457738e-006,7.994574e-007
1.148153621496883e-001,1.447452e-006,7.994574e-007
1.174897554939530e-001,1.437330e-006,7.994574e-007
1.202264434617413e-001,1.427368e-006,7.994574e-007
1.230268770812382e-001,1.417565e-006,7.994574e-007
1.258925411794167e-001,1.407920e-006,7.994574e-007
1.288249551693134e-001,1.398430e-006,7.994574e-007
1.318256738556407e-001,1.389094e-006,7.994574e-007
1.348962882591653e-001,1.379909e-006,7.994574e-007
1.380384264602884e-001,1.370873e-006,7.994574e-007
1.412537544622754e-001,1.361986e-006,7.994574e-007
1.445439770745927e-001,1.353244e-006,7.994574e-007
1.479108388168207e-001,1.344646e-006,7.994574e-007
1.513561248436207e-001,1.336191e-006,7.994574e-007
1.548816618912480e-001,1.327876e-006,7.994574e-007
1.584893192461112e-001,1.319699e-006,7.994574e-007
1.621810097358929e-001,1.311660e-006,7.994574e-007
1.659586907437559e-001,1.303756e-006,7.994574e-007
1.698243652461743e-001,1.295985e-006,7.994574e-007
1.737800828749374e-001,1.288345e-006,7.994574e-007
1.778279410038921e-001,1.280836e-006,7.994574e-007
1.819700858609982e-001,1.273454e-006,7.994574e-007
1.862087136662866e-001,1.266200e-006,7.994574e-007
1.905460717963245e-001,1.259069e-006,7.994574e-007
1.949844599758043e-001,1.252062e-006,7.994574e-007
1.995262314968878e-001,1.245177e-006,7.994574e-007
2.041737944669527e-001,1.238411e-006,7.994574e-007
2.089296130854037e-001,1.231763e-006,7.994574e-007
2.137962089502230e-001,1.225232e-006,7.994574e-007
2.187761623949550e-001,1.218815e-006,7.994574e-007
2.238721138568337e-001,1.212512e-006,7.994574e-007
2.290867652767770e-001,1.206320e-006,7.994574e-007
2.344228815319919e-001,1.200239e-006,7.994574e-007
2.398832919019487e-001,1.194266e-006,7.994574e-007
2.454708915685027e-001,1.188400e-006,7.994574e-007
2.511886431509577e-001,1.182639e-006,7.994574e-007
2.570395782768861e-001,1.176983e-006,7.994574e-007
2.630267991895379e-001,1.171428e-006,7.994574e-007
2.691534803926912e-001,1.165975e-006,7.994574e-007
2.754228703338163e-001,1.160621e-006,7.994574e-007
2.818382931264450e-001,1.155365e-006,7.994574e-007
2.884031503126602e-001,1.150205e-006,7.994574e-007
2.951209226666382e-001,1.145140e-006,7.994574e-007
3.019951720402012e-001,1.140169e-006,7.994574e-007
3.090295432513586e-001,1.135290e-006,7.994574e-007
3.162277660168375e-001,1.130501e-006,7.994574e-007
3.235936569296278e-001,1.125802e-006,7.994574e-007
3.311311214825907e-001,1.121191e-006,7.994574e-007
3.388441561392021e-001,1.116667e-006,7.994574e-007
3.467368504525312e-001,1.112227e-006,7.994574e-007
3.548133892335750e-001,1.107872e-006,7.994574e-007
3.630780547701009e-001,1.103599e-006,7.994574e-007
3.715352290971720e-001,1.099407e-006,7.994574e-007
3.801893963205607e-001,1.095296e-006,7.994574e-007
3.890451449942800e-001,1.091262e-006,7.994574e-007
3.981071705534967e-001,1.087307e-006,7.994574e-007
4.073802778041121e-001,1.083427e-006,7.994574e-007
4.168693834703348e-001,1.079622e-006,7.994574e-007
4.265795188015920e-001,1.075891e-006,7.994574e-007
4.365158322401653e-001,1.072232e-006,7.994574e-007
4.466835921509624e-001,1.068644e-006,7.994574e-007
4.570881896148742e-001,1.065127e-006,7.994574e-007
4.677351412871974e-001,1.061678e-006,7.994574e-007
4.786300923226375e-001,1.058296e-006,7.994574e-007
4.897788193684454e-001,1.054982e-006,7.994574e-007
5.011872336272715e-001,1.051732e-006,7.994574e-007
5.128613839913641e-001,1.048547e-006,7.994574e-007
5.248074602497718e-001,1.045425e-006,7.994574e-007
5.370317963702519e-001,1.042365e-006,7.994574e-007
5.495408738576236e-001,1.039366e-006,7.994574e-007
5.623413251903481e-001,1.036427e-006,7.994574e-007
5.754399373371559e-001,1.033547e-006,7.994574e-007
5.888436553555879e-001,1.030724e-006,7.994574e-007
6.025595860743567e-001,1.027958e-006,7.994574e-007
6.165950018614811e-001,1.025248e-006,7.994574e-007
6.309573444801921e-001,1.022593e-006,7.994574e-007
6.456542290346544e-001,1.019992e-006,7.994574e-007
6.606934480075949e-001,1.017443e-006,7.994574e-007
6.760829753919806e-001,1.014946e-006,7.994574e-007
6.918309709189353e-001,1.012500e-006,7.994574e-007
7.079457843841367e-001,1.010104e-006,7.994574e-007
7.244359600749888e-001,1.007757e-006,7.994574e-007
7.413102413009162e-001,1.005458e-006,7.994574e-007
7.585775750291823e-001,1.003206e-006,7.994574e-007
7.762471166286903e-001,1.001001e-006,7.994574e-007
7.943282347242799e-001,9.988413e-007,7.994574e-007
8.128305161640976e-001,9.967262e-007,7.994574e-007
8.317637711026693e-001,9.946549e-007,7.994574e-007
8.511380382023747e-001,9.926265e-007,7.994574e-007
8.709635899560788e-001,9.906403e-007,7.994574e-007
8.912509381337437e-001,9.886954e-007,7.994574e-007
9.120108393559078e-001,9.867912e-007,7.994574e-007
9.332543007969890e-001,9.849267e-007,7.994574e-007
9.549925860214339e-001,9.831012e-007,7.994574e-007
9.772372209558086e-001,9.813140e-007,7.994574e-007
9.999999999999978e-001,9.795643e-007,7.994574e-007
1.023292992280752e+000,9.778514e-007,7.994574e-007
1.047128548050897e+000,9.761746e-007,7.994574e-007
1.071519305237604e+000,9.745332e-007,7.994574e-007
1.096478196143182e+000,9.729266e-007,7.994574e-007
1.122018454301961e+000,9.713539e-007,7.994574e-007
1.148153621496880e+000,9.698146e-007,7.994574e-007
1.174897554939527e+000,9.683079e-007,7.994574e-007
1.202264434617410e+000,9.668331e-007,7.994574e-007
1.230268770812378e+000,9.653899e-007,7.994574e-007
1.258925411794164e+000,9.639774e-007,7.994574e-007
1.288249551693131e+000,9.625950e-007,7.994574e-007
1.318256738556404e+000,9.612422e-007,7.994574e-007
1.348962882591650e+000,9.599183e-007,7.994574e-007
