frequency,V(onoise),V(r1)
1.000000000000000e-001,1.613502e-004,8.140722e-008
1.023292992280754e-001,1.595033e-004,8.140722e-008
1.047128548050900e-001,1.576775e-004,8.140722e-008
1.071519305237607e-001,1.558725e-004,8.140722e-008
1.096478196143185e-001,1.540883e-004,8.140722e-008
1.122018454301964e-001,1.523245e-004,8.140722e-008
1.148153621496883e-001,1.505808e-004,8.140722e-008
1.174897554939530e-001,1.488571e-004,8.140722e-008
1.202264434617413e-001,1.471532e-004,8.140722e-008
1.230268770812382e-001,1.454688e-004,8.140722e-008
1.258925411794167e-001,1.438036e-004,8.140722e-008
1.288249551693134e-001,1.421575e-004,8.140722e-008
1.318256738556407e-001,1.405302e-004,8.140722e-008
1.348962882591653e-001,1.389216e-004,8.140722e-008
1.380384264602884e-001,1.373314e-004,8.140722e-008
1.412537544622754e-001,1.357594e-004,8.140722e-008
1.445439770745927e-001,1.342054e-004,8.140722e-008
1.479108388168207e-001,1.326691e-004,8.140722e-008
1.513561248436207e-001,1.311505e-004,8.140722e-008
1.548816618912480e-001,1.296492e-004,8.140722e-008
1.584893192461112e-001,1.281652e-004,8.140722e-008
1.621810097358929e-001,1.266981e-004,8.140722e-008
1.659586907437559e-001,1.252478e-004,8.140722e-008
1.698243652461743e-001,1.238141e-004,8.140722e-008
1.737800828749374e-001,1.223968e-004,8.140722e-008
1.778279410038921e-001,1.209957e-004,8.140722e-008
1.819700858609982e-001,1.196107e-004,8.140722e-008
1.862087136662866e-001,1.182416e-004,8.140722e-008
1.905460717963245e-001,1.168881e-004,8.140722e-008
1.949844599758043e-001,1.155501e-004,8.140722e-008
1.995262314968878e-001,1.142274e-004,8.140722e-008
2.041737944669527e-001,1.129198e-004,8.140722e-008
2.089296130854037e-001,1.116273e-004,8.140722e-008
2.137962089502230e-001,1.103495e-004,8.140722e-008
2.187761623949550e-001,1.090864e-004,8.140722e-008
2.238721138568337e-001,1.078377e-004,8.140722e-008
2.290867652767770e-001,1.066033e-004,8.140722e-008
2.344228815319919e-001,1.053830e-004,8.140722e-008
2.398832919019487e-001,1.041767e-004,8.140722e-008
2.454708915685027e-001,1.029842e-004,8.140722e-008
2.511886431509577e-001,1.018054e-004,8.140722e-008
2.570395782768861e-001,1.006400e-004,8.140722e-008
2.630267991895379e-001,9.948800e-005,8.140722e-008
2.691534803926912e-001,9.834918e-005,8.140722e-008
2.754228703338163e-001,9.722340e-005,8.140722e-008
2.818382931264450e-001,9.611050e-005,8.140722e-008
2.884031503126602e-001,9.501035e-005,8.140722e-008
2.951209226666382e-001,9.392278e-005,8.140722e-008
3.019951720402012e-001,9.284767e-005,8.140722e-008
3.090295432513586e-001,9.178486e-005,8.140722e-008
3.162277660168375e-001,9.073422e-005,8.140722e-008
3.235936569296278e-001,8.969560e-005,8.140722e-008
3.311311214825907e-001,8.866888e-005,8.140722e-008
3.388441561392021e-001,8.765391e-005,8.140722e-008
3.467368504525312e-001,8.665055e-005,8.140722e-008
3.548133892335750e-001,8.565868e-005,8.140722e-008
3.630780547701009e-001,8.467816e-005,8.140722e-008
3.715352290971720e-001,8.370887e-005,8.140722e-008
3.801893963205607e-001,8.275068e-005,8.140722e-008
3.890451449942800e-001,8.180345e-005,8.140722e-008
3.981071705534967e-001,8.086707e-005,8.140722e-008
4.073802778041121e-001,7.994140e-005,8.140722e-008
4.168693834703348e-001,7.902633e-005,8.140722e-008
4.265795188015920e-001,7.812174e-005,8.140722e-008
