frequency,V(onoise),V(r1)
1.000000000000000e-001,3.884177e-007,8.141371e-008
1.023292992280754e-001,3.842177e-007,8.141371e-008
1.047128548050900e-001,3.800684e-007,8.141371e-008
1.071519305237607e-001,3.759694e-007,8.141371e-008
1.096478196143185e-001,3.719200e-007,8.141371e-008
1.122018454301964e-001,3.679198e-007,8.141371e-008
1.148153621496883e-001,3.639682e-007,8.141371e-008
1.174897554939530e-001,3.600645e-007,8.141371e-008
1.202264434617413e-001,3.562085e-007,8.141371e-008
1.230268770812382e-001,3.523994e-007,8.141371e-008
1.258925411794167e-001,3.486368e-007,8.141371e-008
1.288249551693134e-001,3.449203e-007,8.141371e-008
1.318256738556407e-001,3.412492e-007,8.141371e-008
1.348962882591653e-001,3.376231e-007,8.141371e-008
1.380384264602884e-001,3.340416e-007,8.141371e-008
1.412537544622754e-001,3.305040e-007,8.141371e-008
1.445439770745927e-001,3.270101e-007,8.141371e-008
1.479108388168207e-001,3.235592e-007,8.141371e-008
1.513561248436207e-001,3.201509e-007,8.141371e-008
1.548816618912480e-001,3.167848e-007,8.141371e-008
1.584893192461112e-001,3.134604e-007,8.141371e-008
1.621810097358929e-001,3.101773e-007,8.141371e-008
1.659586907437559e-001,3.069349e-007,8.141371e-008
1.698243652461743e-001,3.037329e-007,8.141371e-008
1.737800828749374e-001,3.005709e-007,8.141371e-008
1.778279410038921e-001,2.974483e-007,8.141371e-008
1.819700858609982e-001,2.943648e-007,8.141371e-008
1.862087136662866e-001,2.913200e-007,8.141371e-008
1.905460717963245e-001,2.883135e-007,8.141371e-008
1.949844599758043e-001,2.853447e-007,8.141371e-008
1.995262314968878e-001,2.824134e-007,8.141371e-008
2.041737944669527e-001,2.795192e-007,8.141371e-008
2.089296130854037e-001,2.766615e-007,8.141371e-008
2.137962089502230e-001,2.738401e-007,8.141371e-008
2.187761623949550e-001,2.710545e-007,8.141371e-008
2.238721138568337e-001,2.683045e-007,8.141371e-008
2.290867652767770e-001,2.655895e-007,8.141371e-008
2.344228815319919e-001,2.629092e-007,8.141371e-008
2.398832919019487e-001,2.602632e-007,8.141371e-008
2.454708915685027e-001,2.576513e-007,8.141371e-008
2.511886431509577e-001,2.550730e-007,8.141371e-008
2.570395782768861e-001,2.525279e-007,8.141371e-008
2.630267991895379e-001,2.500157e-007,8.141371e-008
2.691534803926912e-001,2.475361e-007,8.141371e-008
2.754228703338163e-001,2.450886e-007,8.141371e-008
2.818382931264450e-001,2.426731e-007,8.141371e-008
2.884031503126602e-001,2.402891e-007,8.141371e-008
2.951209226666382e-001,2.379362e-007,8.141371e-008
3.019951720402012e-001,2.356143e-007,8.141371e-008
3.090295432513586e-001,2.333228e-007,8.141371e-008
3.162277660168375e-001,2.310616e-007,8.141371e-008
3.235936569296278e-001,2.288302e-007,8.141371e-008
3.311311214825907e-001,2.266284e-007,8.141371e-008
3.388441561392021e-001,2.244559e-007,8.141371e-008
3.467368504525312e-001,2.223123e-007,8.141371e-008
3.548133892335750e-001,2.201974e-007,8.141371e-008
3.630780547701009e-001,2.181107e-007,8.141371e-008
3.715352290971720e-001,2.160521e-007,8.141371e-008
3.801893963205607e-001,2.140213e-007,8.141371e-008
3.890451449942800e-001,2.120178e-007,8.141371e-008
3.981071705534967e-001,2.100415e-007,8.141371e-008
4.073802778041121e-001,2.080921e-007,8.141371e-008
4.168693834703348e-001,2.061692e-007,8.141371e-008
4.265795188015920e-001,2.042727e-007,8.141371e-008
4.365158322401653e-001,2.024021e-007,8.141371e-008
4.466835921509624e-001,2.005572e-007,8.141371e-008
4.570881896148742e-001,1.987378e-007,8.141371e-008
4.677351412871974e-001,1.969436e-007,8.141371e-008
4.786300923226375e-001,1.951742e-007,8.141371e-008
4.897788193684454e-001,1.934296e-007,8.141371e-008
5.011872336272715e-001,1.917092e-007,8.141371e-008
5.128613839913641e-001,1.900131e-007,8.141371e-008
5.248074602497718e-001,1.883407e-007,8.141371e-008
